Date,Name,Year,Letterboxd URI,Rating
2025-02-09,Nosferatu,2024,https://boxd.it/f5eG,4
2025-02-13,The Lighthouse,2019,https://boxd.it/icFU,1
2025-02-15,Election,1999,https://boxd.it/1YEc,3.5
2025-02-26,Nickel Boys,2024,https://boxd.it/CStQ,4
2025-02-26,The Brutalist,2024,https://boxd.it/k4BO,4.5
2025-02-28,A Complete Unknown,2024,https://boxd.it/oBYa,3.5
2025-03-10,The Town,2010,https://boxd.it/1zyS,4.5
2025-03-10,Argo,2012,https://boxd.it/2czU,4
2025-03-11,What Women Want,2000,https://boxd.it/24Sa,5
2025-03-14,Andrew Schulz: LIFE,2025,https://boxd.it/T7FE,4
2025-03-16,Parasite,2019,https://boxd.it/hTha,4.5
2025-03-16,Gone Girl,2014,https://boxd.it/6hQu,4
2025-03-19,Mickey 17,2025,https://boxd.it/q1Dk,3.5
2025-03-21,Spirited Away,2001,https://boxd.it/2b4m,3.5
2025-03-22,My Cousin Vinny,1992,https://boxd.it/1WpO,4.5
2025-03-23,The Matrix,1999,https://boxd.it/2a1m,4.5
2025-05-13,Top Gun: Maverick,2022,https://boxd.it/cjr4,4.5
2025-05-29,"Once Upon a Time, There Lived a Dog",1982,https://boxd.it/2oYC,3.5
2025-05-29,Wolf and Calf,1984,https://boxd.it/3dwk,3.5
2025-06-03,Mission: Impossible III,2006,https://boxd.it/29cI,4.5
2025-06-04,Mission: Impossible – The Final Reckoning,2025,https://boxd.it/l7A2,2.5
2025-06-06,Rogue One: A Star Wars Story,2016,https://boxd.it/aPvy,3.5
2025-06-08,Gentlemen of Fortune,1971,https://boxd.it/1CNc,3
2025-06-10,Mission: Impossible II,2000,https://boxd.it/29cS,3.5
2025-06-11,Ne Zha 2,2025,https://boxd.it/B2qe,5
2025-06-12,Ballerina,2025,https://boxd.it/jKqG,5
2025-06-12,Ne Zha,2019,https://boxd.it/mKSm,4
2025-06-16,Predator: Killer of Killers,2025,https://boxd.it/QYvQ,3.5
2025-06-21,Companion,2025,https://boxd.it/F04o,5
2025-06-22,12 Angry Men,1957,https://boxd.it/2auI,5
2025-06-26,Sinners,2025,https://boxd.it/KQMM,4.5
2025-06-26,Warfare,2025,https://boxd.it/LbRo,3
2025-07-02,Adolescence,2025,https://boxd.it/TFGw,3.5
2025-07-07,F1,2025,https://boxd.it/yjVM,4
2025-07-08,Thunderbolts*,2025,https://boxd.it/BfbQ,4
2025-07-11,28 Years Later,2025,https://boxd.it/FEGM,4
2025-07-16,Batman Begins,2005,https://boxd.it/2aIg,4
2025-07-21,The Ministry of Ungentlemanly Warfare,2024,https://boxd.it/u5zu,2
2025-07-26,Batman: Under the Red Hood,2010,https://boxd.it/11eE,3.5
2025-07-28,Batman Beyond: Return of the Joker,2000,https://boxd.it/1KwS,4.5
2025-07-29,Superman,2025,https://boxd.it/E9IU,3.5
2025-08-01,Ford v Ferrari,2019,https://boxd.it/ce74,4
2025-08-06,End of Watch,2012,https://boxd.it/2F5O,4
2025-08-06,Black Swan,2010,https://boxd.it/Sw0,4
2025-08-06,Four Lions,2010,https://boxd.it/18do,4.5
2025-08-08,Heads of State,2025,https://boxd.it/s9tG,4.5
2025-08-08,Materialists,2025,https://boxd.it/GZlW,2
2025-08-12,Novocaine,2025,https://boxd.it/JmdA,3
2025-08-12,Blade Runner 2049,2017,https://boxd.it/b8wK,2
2025-08-13,Ghost in the Shell,1995,https://boxd.it/1YYc,2.5
2025-08-14,The Naked Gun: From the Files of Police Squad!,1988,https://boxd.it/18YE,4
2025-08-14,Tropic Thunder,2008,https://boxd.it/20WM,3
2025-08-15,Freaky Friday,2003,https://boxd.it/1WwK,3.5
2025-08-16,Mean Girls,2004,https://boxd.it/1VNg,3.5
2025-08-16,Clueless,1995,https://boxd.it/1Ygk,4.5
2025-08-16,KPop Demon Hunters,2025,https://boxd.it/ufwK,5
2025-08-17,One of Them Days,2025,https://boxd.it/MReU,4.5
2025-08-18,Fighting with My Family,2019,https://boxd.it/fRyO,3.5
2025-08-19,A Good Person,2023,https://boxd.it/u8sw,2.5
2025-08-19,Booksmart,2019,https://boxd.it/igNS,3
2025-08-20,Short Term 12,2013,https://boxd.it/5f6s,4.5
2025-08-20,Spotlight,2015,https://boxd.it/a84k,5
2025-08-21,13 Going on 30,2004,https://boxd.it/1X6e,3.5
2025-08-23,Tully,2018,https://boxd.it/e4kc,4
2025-08-24,Howl's Moving Castle,2004,https://boxd.it/23De,4
2025-08-25,My Neighbor Totoro,1988,https://boxd.it/20eA,3
2025-08-25,Kiki's Delivery Service,1989,https://boxd.it/1JAY,4
2025-08-26,Frances Ha,2012,https://boxd.it/41Xg,3.5
2025-08-28,Kill Bill: Vol. 2,2004,https://boxd.it/2au4,3.5
2025-08-29,Game Night,2018,https://boxd.it/fRtu,4.5
2025-08-29,Madame Web,2024,https://boxd.it/nwD0,1.5
2025-08-29,Michael Clayton,2007,https://boxd.it/2466,2
2025-08-30,The Bad Guys 2,2025,https://boxd.it/IAI6,4
2025-09-05,The Naked Gun,2025,https://boxd.it/Da9k,2.5
2025-09-05,Kung Fu Panda,2008,https://boxd.it/1Yws,4
2025-09-05,Kung Fu Panda 2,2011,https://boxd.it/G36,3.5
2025-09-10,Nobody 2,2025,https://boxd.it/C5Lc,2
2025-09-13,Spider-Man,2002,https://boxd.it/2a8i,3.5
2025-09-14,Spider-Man 2,2004,https://boxd.it/2a88,3.5
2025-09-18,Weapons,2025,https://boxd.it/EMTM,3
2025-09-26,Spider-Man 3,2007,https://boxd.it/2a7Y,1.5
2025-09-26,The Long Walk,2025,https://boxd.it/mic8,3.5
2025-09-27,The Fantastic 4: First Steps,2025,https://boxd.it/mP6C,3
2025-09-27,Avatar,2009,https://boxd.it/1Efm,3.5
2025-10-09,Avatar: The Way of Water,2022,https://boxd.it/2E2E,4
2025-10-19,Caught Stealing,2025,https://boxd.it/LnyS,3.5
2025-10-20,Raising Arizona,1987,https://boxd.it/2avQ,3.5
2025-10-28,GoldenEye,1995,https://boxd.it/29KU,1.5
2025-11-17,Office Space,1999,https://boxd.it/28Em,3
2025-11-17,American Pie,1999,https://boxd.it/27qy,3
2025-11-18,Predator: Badlands,2025,https://boxd.it/LeK6,3.5
2025-11-21,One Battle After Another,2025,https://boxd.it/DUHM,4
2025-11-23,Death by Lightning,2025,https://boxd.it/YHb6,4
2025-11-24,Frankenstein,2025,https://boxd.it/Ecsg,4.5
2025-11-24,Splitsville,2025,https://boxd.it/PGtA,3.5
2025-11-26,Sentimental Value,2025,https://boxd.it/GwcG,2.5
2025-11-30,Bugonia,2025,https://boxd.it/qeWY,4
2025-12-05,The Running Man,2025,https://boxd.it/u36A,2
2025-12-06,Unforgiven,1992,https://boxd.it/6Z4,3.5
2025-12-07,The Devil's Advocate,1997,https://boxd.it/286k,4
2025-12-08,Kill Bill: Vol. 1,2003,https://boxd.it/70w,4
2025-12-13,Jay Kelly,2025,https://boxd.it/EsWw,3.5
2025-12-14,Wake Up Dead Man,2025,https://boxd.it/uAKS,4.5
2025-12-14,The Meyerowitz Stories (New and Selected),2017,https://boxd.it/dSp0,4
2025-12-15,Rush Hour,1998,https://boxd.it/27pU,4.5
2025-12-18,No Other Choice,2025,https://boxd.it/nKiA,4
2025-12-28,Burn After Reading,2008,https://boxd.it/23BW,3
2025-12-28,The Roses,2025,https://boxd.it/MjnI,3.5
2025-12-29,Police Story,1985,https://boxd.it/1Zhe,4.5
2025-12-30,The Birdcage,1996,https://boxd.it/1UTi,3
2026-01-11,"South Park: Bigger, Longer & Uncut",1999,https://boxd.it/1YAO,3
2026-01-14,Roofman,2025,https://boxd.it/LcIW,2.5
2026-01-26,Die Hard With a Vengeance,1995,https://boxd.it/28zG,3.5
2026-01-28,28 Years Later: The Bone Temple,2026,https://boxd.it/MwlA,4
2026-01-31,Point Break,1991,https://boxd.it/2958,3.5
2026-02-01,Wonder Man,2026,https://boxd.it/10jdQ,4
2026-02-02,A Knight's Tale,2001,https://boxd.it/1YAk,3
2026-02-02,Harakiri,1962,https://boxd.it/1NTU,3.5
2026-05-23,Troy,2004,https://boxd.it/29TW,3.5
2026-05-26,Obsession,2025,https://boxd.it/PNqo,2.5
2026-05-30,The Drama,2026,https://boxd.it/OA2w,3.5
2026-06-03,The Sheep Detectives,2026,https://boxd.it/NDSe,3.5
2026-06-05,Avatar Aang: The Last Airbender,2026,https://boxd.it/B1BK,2
2026-06-24,Scream,1996,https://boxd.it/24EC,3.5
